Restaurant Name,Rating,Cuisine,Average Cost for Two,City,Address,Latitude,Longitude
Snackers,4.3,"Fast Food, Sandwich, Sichuan",₹200 for two,Meerut,"Sadar Bazaar, Meerut",28.9918776000,77.7102001000
Nazeer Foods,3.8,"North Indian, Mughlai, Beverages, Chinese, Desserts, Biryani",₹400 for two,Meerut,"Meerut Cantt, Meerut",28.9925160465,77.7056269348
Pind Balluchi,3.4,"North Indian, Mughlai, Kebab, Desserts",₹800 for two,Meerut,"Shastri Nagar, Meerut",28.9665570000,77.7318176000
Pizza Hut,3.9,"Pizza, Fast Food, Desserts, Beverages",₹600 for two,Meerut,"Meerut Cantt, Meerut",28.9701369821,77.7225238457
Burger King,4.0,"Burger, Fast Food, Beverages",₹350 for two,Meerut,"Meerut Cantt, Meerut",28.9479649027,77.6751215011
Firangi Pizza,-,"Pizza, Fast Food",₹300 for two,Meerut,"Ganga Nagar, Meerut",28.9995858000,77.7628582000
Zooby's Kitchen,4.5,"North Indian, Mughlai, Chinese, Beverages","₹1,200 for two",Nainital,"Mall Road, Nainital",29.3887084718,79.4603357837
Café Lakeside,4.4,"Continental, Chinese, Italian, Thai, North Indian, Beverages, Cafe, American",₹800 for two,Nainital,"Mall Road, Nainital",29.3867520609,79.4620158523
Machan,3.8,"Chinese, North Indian, Thai",₹700 for two,Nainital,"Mall Road, Nainital",29.3910571669,79.4569129497
Domino's Pizza,3.9,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Nainital,"Mall Road, Nainital",29.3855557601,79.4626029208
Tadka,-,"North Indian, Chinese","₹1,500 for two",Nainital,"Tallital, Nainital",29.3865690000,79.4931590000
The Sakley's,4.1,"Chinese, Desserts, North Indian","₹1,500 for two",Nainital,"Mall Road, Nainital",29.3916773418,79.4552124292
Fatu's Cafe & Bistro,-,"Cafe, Italian, American",₹500 for two,Nainital,"Sherwani, Nainital",29.3686672548,79.4142464560
Anupam Restaurant,4.9,"North Indian, Chinese, Street Food, Desserts",₹700 for two,Nainital,"Mall Road, Nainital",29.3925239052,79.4524215907
Chandni Chowk - A Multi Cuisine Family Restaurant,4.0,"North Indian, Chinese, South Indian, Italian, Desserts, Beverages",₹600 for two,Nainital,"Tallital, Nainital",29.3828829000,79.4636513000
Onesta,4.4,"Pizza, Fast Food, Desserts, Beverages",₹600 for two,Mysore,"Gokulam, Mysore",12.3264794046,76.6268076003
Leon's Burgers & Wings,4.2,"Burger, Wraps, Fast Food, Beverages",₹400 for two,Mysore,"Jayalakhsmipuram, Mysore",12.3259402616,76.6139869764
La Uppu,4.2,"North Indian, Chinese, Fast Food","₹1,500 for two",Mysore,"Bannimantap, Mysore",12.3299631714,76.6449788958
Orchid - Fortune JP Palace,4.3,"North Indian, Chinese, Continental, Fast Food, Desserts, Beverages","₹1,200 for two",Mysore,"Fortune JP Palace, Chamrajpura, Mysore",12.3182123152,76.6629765183
Sapa,3.1,"Bakery, Desserts",₹400 for two,Mysore,"Gokulam, Mysore",12.3290358908,76.6315289847
The Old House,4.5,"Italian, Pizza, Salad, Fast Food, Shake, Beverages, Bakery, Desserts",₹800 for two,Mysore,"Chamrajpura, Mysore",12.2995762618,76.6428757086
Bopy's,4.4,"North Indian, Chinese, Desserts, Beverages",₹700 for two,Mysore,"Vijay Nagar, Mysore",12.3241439840,76.6110972315
Burger King,3.8,"Burger, Fast Food, Desserts, Beverages",₹400 for two,Mysore,"Gayathripuram, Mysore",12.3180640000,76.6656370000
Gufha Restaurant,4.0,"North Indian, Continental, Chinese, Beverages, Desserts","₹1,000 for two",Mysore,"Pai Hotels, Doora, Mysore",12.3109884000,76.6595797000
Earl's Secret,4.5,"Continental, North Indian","₹1,200 for two",Ooty,"Marlimund, Ooty",11.4199473730,76.6983699426
